region,plant_id_eia
p53,1320
p52,1321
p53,1322
p52,1324
p53,1325
p53,1326
p53,1327
p53,1328
p53,1329
p53,1330
p53,1332
p53,1334
p52,1336
p110,1353
p109,1354
p109,1355
p109,1356
p108,1357
p109,1358
p109,1359
p109,1361
p109,1363
p109,1364
p109,1365
p109,1366
p109,1368
p93,1371
p108,1374
p109,1376
p93,1377
p108,1378
p93,1379
p93,1380
p108,1381
p108,1382
p108,1383
p93,1384
p109,1385
p58,1392
p58,1393
p58,1394
p58,1396
p58,1400
p58,1401
p58,1402
p58,1403
p86,1404
p58,1407
p58,1409
p58,1416
p58,1417
p58,1435
p58,1439
p58,1443
p58,1447
p86,1448
p58,1449
p58,1453
p58,1455
p58,1456
p58,1464
p134,1466
p134,1468
p134,1469
p134,1472
p134,1474
p134,1475
p134,1478
p134,1479
p134,1480
p134,1481
p134,1482
p134,1483
p134,1484
p134,1486
p134,1488
p134,1491
p134,1492
p134,1493
p134,1497
p134,1498
p134,1500
p134,1501
p134,1504
p134,1505
p134,1507
p134,1508
p134,1509
p134,1510
p134,1511
p134,1513
p134,1514
p134,1516
p123,1552
p123,1553
p123,1554
p123,1555
p123,1556
p123,1557
p123,1559
p123,1560
p123,1563
p123,1564
p121,1567
p121,1570
p123,1571
p123,1572
p123,1573
p123,1574
p123,1580
p131,1586
p131,1587
p131,1588
p131,1590
p131,1592
p131,1595
p131,1597
p131,1599
p131,1603
p131,1604
p131,1605
p131,1606
p131,1607
p131,1613
p131,1615
p131,1619
p131,1620
p131,1626
p131,1629
p131,1630
p131,1631
p131,1634
p131,1637
p131,1638
p131,1642
p131,1643
p131,1660
p131,1670
p131,1678
p131,1682
p103,1693
p103,1694
p103,1695
p104,1696
p103,1698
p103,1700
p103,1701
p103,1702
p103,1704
p103,1705
p103,1706
p103,1707
p103,1708
p103,1710
p103,1712
p103,1713
p103,1714
p104,1715
p103,1716
p103,1718
p103,1719
p103,1720
p103,1722
p103,1723
p103,1725
p103,1726
p103,1727
p103,1728
p103,1729
p103,1730
p103,1731
p103,1732
p103,1733
p103,1734
p103,1735
p103,1737
p103,1739
p103,1740
p103,1741
p103,1743
p103,1744
p103,1745
p103,1746
p103,1750
p103,1751
p104,1753
p104,1754
p46,1756
p74,1757
p104,1760
p104,1761
p74,1769
p74,1771
p74,1772
p74,1773
p74,1774
p74,1775
p74,1776
p74,1777
p74,1778
p74,1780
p74,1781
p74,1784
p74,1785
p74,1786
p74,1787
p103,1818
p103,1819
p74,1821
p103,1822
p103,1825
p103,1826
p103,1827
p103,1829
p103,1830
p103,1831
p103,1832
p103,1837
p74,1840
p74,1842
p74,1843
p103,1844
p103,1846
p74,1848
p103,1851
p103,1852
p103,1853
p104,1855
p104,1856
p103,1865
p103,1866
p103,1867
p103,1868
p103,1871
p103,1873
p103,1874
p103,1875
p103,1877
p103,1880
p103,1881
p68,1888
p44,1889
p43,1891
p43,1892
p43,1893
p43,1894
p43,1895
p43,1896
p43,1898
p43,1899
p43,1900
p43,1901
p43,1902
p43,1904
p43,1910
p43,1911
