neighbor_code,ba_code,reeds_region,share
BCHA,BPAT,p1,0.685
BCHA,BPAT,p3,0.315
AESO,NWMT,p18,1.0
SPC,SWPP,p36,1.0
MHEB,MISO,p37,0.158
MHEB,MISO,p42,0.842
IESO,MISO,p42,0.089
IESO,MISO,p103,0.911
IESO,NYIS,p127,1.0
HQT,NYIS,p127,1.0
HQT,ISNE,p129,0.682
HQT,ISNE,p134,0.318
NBSO,ISNE,p134,1.0
CEN,CISO,p11,1.0
CFE,CISO,p11,1.0
CEN,ERCO,p61,0.102
CEN,ERCO,p65,0.898
CFE,ERCO,p61,0.102
CFE,ERCO,p65,0.898
